DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,HOME_WIN,WINNING_TEAM,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2013-02-13,San Antonio Spurs,96,Cleveland Cavaliers,95,False,San Antonio Spurs,0.3076923076923077,0.7735849056603774,0.6,0.8
2013-02-13,Charlotte Hornets,77,Indiana Pacers,101,True,Indiana Pacers,0.5961538461538461,0.23529411764705882,0.6,0.2
2013-02-13,Atlanta Hawks,108,Orlando Magic,76,False,Atlanta Hawks,0.29411764705882354,0.56,0.2,0.4
2013-02-13,Chicago Bulls,69,Boston Celtics,71,True,Boston Celtics,0.5294117647058824,0.5882352941176471,0.8,0.4
2013-02-13,Denver Nuggets,108,Brooklyn Nets,119,True,Brooklyn Nets,0.5769230769230769,0.6226415094339622,0.4,0.6
2013-02-13,Washington Wizards,85,Detroit Pistons,96,True,Detroit Pistons,0.37735849056603776,0.3,0.4,0.8
2013-02-13,Toronto Raptors,92,New York Knicks,88,False,Toronto Raptors,0.6530612244897959,0.38461538461538464,0.6,0.6
2013-02-13,Philadelphia 76ers,92,Milwaukee Bucks,94,True,Milwaukee Bucks,0.5,0.44,0.2,0.6
2013-02-13,Utah Jazz,97,Minnesota Timberwolves,93,False,Utah Jazz,0.3877551020408163,0.5471698113207547,0.2,0.6
2013-02-13,Portland Trail Blazers,63,New Orleans Pelicans,99,True,New Orleans Pelicans,0.34615384615384615,0.4807692307692308,0.6,0.2
2013-02-13,Sacramento Kings,100,Dallas Mavericks,123,True,Dallas Mavericks,0.43137254901960786,0.3584905660377358,0.6,0.4
2013-02-13,Houston Rockets,96,Los Angeles Clippers,106,True,Los Angeles Clippers,0.6851851851851852,0.5370370370370371,0.6,0.6
2013-02-14,Miami Heat,110,Oklahoma City Thunder,100,False,Miami Heat,0.75,0.7142857142857143,0.8,1.0
2013-02-14,Los Angeles Clippers,125,Los Angeles Lakers,101,False,Los Angeles Clippers,0.4716981132075472,0.6909090909090909,0.6,0.8
