TEAM,PLAYER,AGE,VORP
Utah Jazz,Royce O'Neale,25,0.6
Utah Jazz,Ricky Rubio,28,0.9
Utah Jazz,Thabo Sefolosha,34,0.5
Utah Jazz,Ekpe Udoh,31,0.5
Washington Wizards,Bradley Beal,25,3.7
Washington Wizards,Thomas Bryant,21,1.5
Washington Wizards,Jeff Green,32,0.3
Washington Wizards,Dwight Howard,33,-0.1
Washington Wizards,Ian Mahinmi,32,-0.1
Washington Wizards,Jordan McRae,27,0.0
Washington Wizards,Gary Payton II,26,0.1
Washington Wizards,Chasson Randle,25,-0.4
Washington Wizards,Devin Robinson,23,0.1
Washington Wizards,Tomáš Satoranský,27,0.7
Washington Wizards,John Wall,28,0.8
Washington Wizards,Okaro White,26,0.0
